hate_offensive	Her pussy so good like I left something
hate_offensive	Just remember when having standards becomes cool again......im gonna call a lot of you out for staying quiet like a bitch all this time.
hate_offensive	@thebashionista Got me blushin like Drake bitch az. Lol
hate_offensive	All you ofay got left is da Oscars. Better Enjoy dat before us colored folk get dat too!
hate_offensive	@That1guyJeff that just happened to be the year WE lost a one game playoff to them bitches from the bitch ass twin bitches. Lucky for you.
hate_offensive	@HaleyJoanis lick my pussy and ma crack
hate_offensive	Idgaf about these money hungry bitches
hate_offensive	&#8220;@CelebovickOTF: I hate a bitch that like to argue n shyt....:-)&#8221;
hate_offensive	Her pussy so good like I left something
hate_offensive	@kayliefarmer hey, fuk them hoes they prolly already have it
hate_offensive	&#8220;@CauseWereGuys: One wrong move and consider your bitch mine http://t.co/01VJZqnaHh&#8221; @its_gabbyElla @Lyssa_Rae16
hate_offensive	Lady next to me gon say her cooch is itching &amp; burning she thinks she got a uti. No bitch that's something else down there
hate_offensive	I like bad bitches thats my fucking problem
hate_offensive	Dedication 4 hoe
hate_offensive	Ugh bad bitches picture coming soon &#128514;
hate_offensive	"Her great grandmas a hoe,her grandmas a hoe,her moms and a hoe, and she's a hoe! It's a long line of hoes!" -Grandpa Carl everyone
hate_offensive	RT @Italian_Montana: &#8220;@arosati96: The bromance between pat and ant is real&#8221; fuck that faggot
hate_offensive	RT @TheKizzler: make today yo bitch
hate_offensive	This fat bitch turnt for some ice cream not gon lie I would be too https://t.co/E6FIiSiizW
hate_offensive	@mchastain81 @TheWorldStories you fucked that bitch!
hate_offensive	Omg I hate this bitches fucking laugh.. shut the fuck upppp!
hate_offensive	@MichhelleAshley who is this we..? I dont love hoes
hate_offensive	Norbit mad as a bitch lmfaooooooo &#128514;&#128514;
hate_offensive	@BrendanSchaub @TimTebow ugh your with Tebow? You're officially a fag now and in followed.
hate_offensive	First off , fuck your bitch &amp; the click you claim &#127911;
hate_offensive	RT @OfficiallyIce: Nigga. The homemade tuna salad wit the saltine crackers tho?
hate_offensive	RT @SmiIe: These hoes ain't loyal http://t.co/fGTzQwnSxk
hate_offensive	What ppl expect, august aslina is a nig from New Orleans
hate_offensive	I laugh at this bitch
hate_offensive	@kieffer_jason @zach_smith98 @NathannDevlin so why the fuck are still talking shit. You acting like a pussy ass nigga
hate_offensive	Give that hoe an Oscar she stay acting crazyy!!
hate_offensive	lol bitches aint shit...
hate_offensive	Say you love that bitch so much I'll kill yo ass in front of her
